PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Department,Order Month,Spend,Lead Time (Days),Qty_LeadTime_Interaction,Cost_per_Unit,Markup_%,High_Markup_Flag,PPI
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Chemicals,Cancelled,1176,20.13,17.81,74.8034321372855,Yes,Finance,2023-10,20944.559999999998,8.0,9408.0,17.81,0.0,False,278.089
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Manufacturing,Delivered,1509,39.32,37.34,235.0,Yes,Maintenance,2022-04,56346.060000000005,10.0,15090.0,37.34,0.0,False,298.74
PO-00003,Gamma_Co,2022-01-26,2022-02-15,Food Products,Delivered,910,95.51,92.26,41.0,Yes,Procurement,2022-01,83956.6,20.0,18200.0,92.26,0.0,False,248.6
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Chemicals,Delivered,1344,99.85,95.52,112.0,Yes,Maintenance,2022-10,128378.87999999999,19.0,25536.0,95.52,0.0,False,363.717
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Office Supplies,Delivered,1180,64.07,60.53,171.0,No,Maintenance,2022-09,71425.4,12.0,14160.0,60.529999999999994,-1.1738687192468201e-14,False,254.218
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,Office Supplies,Delivered,1145,69.21,63.57,39.0,Yes,Logistics,2022-08,72787.65,12.0,13740.0,63.56999999999999,-1.1177327918201983e-14,False,254.138
PO-00007,Gamma_Co,2022-05-23,2022-06-03,Packaging,Delivered,1774,51.37,47.82,96.0,No,Procurement,2022-05,84832.68000000001,11.0,19514.0,47.82000000000001,1.4858693763281056e-14,False,285.258
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,Metals,Delivered,1094,36.93,32.78,22.0,Yes,Procurement,2022-04,35861.32,14.0,15316.0,32.78,0.0,False,405.655
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Services,Partially Delivered,1688,43.93,39.89,89.0,Yes,Procurement,2023-11,67334.32,4.0,6752.0,39.89000000000001,1.7812552914517426e-14,False,106.48
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Food Products,Pending,171,76.87,70.2,8.0,Yes,Maintenance,2023-07,12004.2,12.0,2052.0,70.2,0.0,False,226.695
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,MRO,Delivered,5000,78.49,73.68,18.0,Yes,Finance,2022-03,368400.00000000006,15.0,75000.0,73.68,0.0,False,293.344
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Electronics,Delivered,5000,88.96,86.58,115.0,Yes,Procurement,2023-08,432900.0,14.0,70000.0,86.58,0.0,False,134.357
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Chemicals,Pending,5000,86.74,74.86,51.0,Yes,Maintenance,2023-03,374300.0,17.0,85000.0,74.86,0.0,False,328.027
